"etort1","etort2","divergence"
"etort-26","etort-42",0.196686
"etort-27","etort-42",0.203856
"etort-28","etort-42",0.205415
"etort-30","etort-42",0.205091
"etort-31","etort-42",0.22039
"etort-32","etort-42",0.193448
"etort-33","etort-42",0.196999
"etort-34","etort-42",0.19637
"etort-35","etort-42",0.200037
"etort-36","etort-42",0.212775
"etort-37","etort-42",0.216251
"etort-38","etort-42",0.217015
"etort-39","etort-42",0.196918
"etort-40","etort-42",0.198355
"etort-41","etort-42",0.200524
"etort-42","etort-42",0.127652
"etort-1","etort-43",0.212437
"etort-2","etort-43",0.203156
"etort-3","etort-43",0.203651
"etort-4","etort-43",0.203079
"etort-5","etort-43",0.199175
"etort-6","etort-43",0.203226
"etort-7","etort-43",0.206031
