"etort1","etort2","distance"
"etort-56 (sheared2)","etort-131",31093.8002835407
"etort-58","etort-131",192714.518345888
"etort-59","etort-131",43956.2895785142
"etort-62","etort-131",65076.7474995534
"etort-78","etort-131",106135.740128498
"etort-79","etort-131",42306.083103084
"etort-80","etort-131",53903.0695939927
"etort-81","etort-131",24865.2520492549
"etort-82","etort-131",26344.3154007606
"etort-83","etort-131",25684.259049382
"etort-84","etort-131",28681.496910959
"etort-85","etort-131",28217.0830882462
"etort-86","etort-131",153643.763615054
"etort-87","etort-131",47950.6844493787
"etort-89","etort-131",26566.6429325092
"etort-90","etort-131",23842.725018981
"etort-93","etort-131",63195.0931362838
"etort-94","etort-131",27583.0764614918
"etort-95","etort-131",34713.5434401866
"etort-112","etort-131",53460.3557429534
"etort-113","etort-131",31979.4964605749
"etort-130","etort-131",10094.6697698507
"etort-131","etort-131",0
"etort-15","etort-132",133067.770653631
"etort-17","etort-132",199094.237568511
"etort-31","etort-132",174455.517623756
"etort-36","etort-132",84750.219921086
"etort-37","etort-132",163126.753991059
"etort-38","etort-132",112206.858743546
"etort-46","etort-132",30283.3487111705
"etort-47","etort-132",30098.1439217799
"etort-48","etort-132",27738.5139675387
"etort-49","etort-132",55474.1950779519
"etort-51","etort-132",59289.7990465615
"etort-53","etort-132",119857.511494202
"etort-55","etort-132",27386.2036851733
"etort-56 (sheared2)","etort-132",23498.4341888819
"etort-58","etort-132",200887.158229286
"etort-59","etort-132",53607.2435408948
"etort-62","etort-132",75385.5358554022
"etort-78","etort-132",111246.551316131
"etort-79","etort-132",45583.0751585765
"etort-80","etort-132",56408.3727087741
"etort-81","etort-132",19385.7652782317
"etort-82","etort-132",21392.0591698645
"etort-83","etort-132",20787.0946128578
"etort-84","etort-132",23547.0732188265
"etort-85","etort-132",22461.7007882426
"etort-86","etort-132",162822.623798177
"etort-87","etort-132",52588.0374643861
"etort-89","etort-132",22019.6386436467
"etort-90","etort-132",20163.9237840299
"etort-93","etort-132",62910.3567935306
"etort-94","etort-132",21246.0408028911
